SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
0;8;0,16666667;0;0;8;4;
1;0;0,0;0;0;0;0;
2;3;0,1;3;0;0;2;
3;14;0,1971831;14;0;0;8;
4;0;0,0;0;0;0;2;
5;2;0,11111111;0;0;2;3;
6;0;0,0;0;0;0;0;
7;2;0,08695652;0;0;2;0;
8;1;0,015873017;0;0;1;21;
9;1;0,033333335;0;0;1;0;
10;3;0,115384616;1;0;0;0;
11;1;0,0625;0;0;1;0;
12;17;0,26984128;16;0;0;22;
13;31;0,34065935;29;0;0;25;
14;32;0,45070422;32;0;0;3;
15;0;0,0;0;0;0;0;
16;0;0,0;0;0;0;0;
17;3;0,15;2;0;0;0;
18;3;0,09090909;3;0;0;8;
19;26;0,3768116;16;0;0;28;
20;0;0,0;0;0;0;0;
21;17;0,3090909;14;0;0;0;
22;0;0,0;0;0;0;18;
23;0;0,0;0;0;0;0;
24;31;0,5535714;31;0;0;0;
25;1;0,041666668;0;0;1;2;
26;0;0,0;0;0;0;0;
27;0;0,0;0;0;0;9;
28;11;0,21568628;0;7;0;24;
29;0;0,0;0;0;0;6;
30;0;0,0;0;0;0;0;
31;5;0,125;5;0;0;0;
32;3;0,0882353;1;0;0;16;
33;0;0,0;0;0;0;0;
34;12;0,31578946;5;0;0;2;
35;6;0,11764706;5;0;0;21;
36;9;0,225;9;0;0;7;
37;0;0,0;0;0;0;0;
38;3;0,0625;2;0;0;14;
39;0;0,0;0;0;0;0;
40;2;0,125;2;0;0;0;
41;4;0,11111111;0;0;4;11;
42;0;0,0;0;0;0;0;
43;0;0,0;0;0;0;0;
44;1;0,09090909;0;0;1;0;
45;3;0,21428572;0;0;3;0;
46;0;0,0;0;0;0;6;
47;11;0,18032786;11;0;0;13;
48;6;0,08955224;5;0;0;21;
49;16;0,32;13;0;0;14;
50;0;0,0;0;0;0;0;
51;6;0,18181819;6;0;0;3;
52;7;0,1627907;0;1;0;0;
53;0;0,0;0;0;0;0;
54;0;0,0;0;0;0;0;
55;1;0,045454547;0;0;1;0;
56;0;0,0;0;0;0;0;
57;0;0,0;0;0;0;0;
58;5;0,12820514;5;0;0;2;
59;2;0,16666667;0;0;2;0;
60;5;0,10204082;4;0;0;28;
61;3;0,12;0;0;3;2;
62;0;0,0;0;0;0;9;
63;3;0,08108108;2;0;0;17;
64;0;0,0;0;0;0;0;
65;2;0,04761905;0;0;2;23;
66;12;0,21818182;8;0;0;21;
67;0;0,0;0;0;0;0;
68;8;0,19512194;1;0;0;14;
69;8;0,32;6;0;0;0;
70;0;0,0;0;0;0;0;
71;0;0,0;0;0;0;0;
72;0;0,0;0;0;0;0;
73;2;0,046511628;1;0;0;1;
74;7;0,14583333;5;0;0;19;
75;0;0,0;0;0;0;0;
76;5;0,23809524;5;0;0;0;
77;4;0,083333336;0;0;4;0;
78;4;0,1904762;4;0;0;1;
79;4;0,12903225;3;0;0;12;
80;0;0,0;0;0;0;6;
81;4;0,08888889;4;0;0;23;
82;1;0,03448276;0;0;1;1;
83;0;0,0;0;0;0;0;
84;0;0,0;0;0;0;0;
85;5;0,11627907;3;0;0;4;
86;4;0,13793103;0;0;4;0;
87;0;0,0;0;0;0;0;
88;0;0,0;0;0;0;0;
89;0;0,0;0;0;0;0;
90;1;0,035714287;0;0;1;0;
91;4;0,08510638;1;0;0;9;
92;1;0,04761905;0;1;0;0;
93;1;0,03846154;0;0;1;0;
94;0;0,0;0;0;0;19;
95;4;0,1904762;0;0;4;0;
96;2;0,041666668;2;0;0;2;
97;0;0,0;0;0;0;0;
98;4;0,08888889;2;0;0;18;
99;0;0,0;0;0;0;0;
100;1;0,035714287;0;0;1;2;
101;0;0,0;0;0;0;0;
102;0;0,0;0;0;0;0;
103;0;0,0;0;0;0;0;
104;0;0,0;0;0;0;0;
105;8;0,10958904;8;0;0;28;
106;9;0,20930232;9;0;0;0;
107;7;0,10144927;1;0;0;32;
108;0;0,0;0;0;0;0;
109;12;0,24;10;0;0;21;
110;10;0,16393442;8;0;0;9;
111;21;0,28767124;6;0;0;42;
112;6;0,26086956;0;1;0;0;
113;9;0,24324325;9;0;0;12;
114;11;1,0;9;0;0;0;
115;0;0,0;0;0;0;0;
116;4;0,0952381;0;1;0;11;
117;1;0,03448276;0;0;1;6;
118;2;0,071428575;2;0;0;3;
119;7;0,14285715;6;0;0;7;
120;0;0,0;0;0;0;21;
