SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
0;0;0,0;0;0;0;5;
1;0;0,0;0;0;0;18;
2;4;0,078431375;3;0;0;16;
3;0;0,0;0;0;0;0;
4;4;0,09090909;3;0;0;0;
5;17;0,28333333;17;0;0;11;
6;3;0,10344828;3;0;0;2;
7;27;0,3253012;19;0;0;43;
8;3;0,046875;1;0;0;17;
9;0;0,0;0;0;0;0;
10;4;0,06779661;3;0;0;23;
11;22;0,3188406;22;0;0;15;
12;0;0,0;0;0;0;1;
13;0;0,0;0;0;0;1;
14;47;0,42727274;47;0;0;15;
15;0;0,0;0;0;0;13;
16;0;0,0;0;0;0;1;
17;0;0,0;0;0;0;0;
18;6;0,10714286;6;0;0;18;
19;12;0,17142858;7;0;0;24;
20;0;0,0;0;0;0;0;
21;0;0,0;0;0;0;0;
22;0;0,0;0;0;0;21;
23;27;0,3253012;20;0;0;40;
24;11;0,18333334;11;0;0;18;
25;0;0,0;0;0;0;0;
26;0;0,0;0;0;0;18;
27;0;0,0;0;0;0;16;
28;4;0,083333336;3;0;0;24;
29;0;0,0;0;0;0;0;
30;0;0,0;0;0;0;0;
31;0;0,0;0;0;0;27;
32;3;0,083333336;3;0;0;0;
33;9;0,5294118;9;0;0;0;
34;10;0,13157895;9;0;0;29;
35;0;0,0;0;0;0;0;
36;0;0,0;0;0;0;2;
37;4;0,074074075;4;0;0;16;
38;0;0,0;0;0;0;0;
39;0;0,0;0;0;0;0;
40;1;0,025641026;0;1;0;3;
41;0;0,0;0;0;0;8;
42;3;0,04411765;3;0;0;29;
43;0;0,0;0;0;0;0;
44;0;0,0;0;0;0;25;
45;0;0,0;0;0;0;15;
46;0;0,0;0;0;0;0;
47;0;0,0;0;0;0;0;
48;12;0,23529412;12;0;0;0;
49;0;0,0;0;0;0;0;
50;0;0,0;0;0;0;0;
51;25;0,3472222;19;0;0;4;
52;6;0,10526316;2;0;0;21;
53;0;0,0;0;0;0;0;
54;2;0,0625;0;0;2;0;
55;0;0,0;0;0;0;26;
56;0;0,0;0;0;0;11;
57;0;0,0;0;0;0;1;
58;3;0,06382979;3;0;0;25;
59;0;0,0;0;0;0;38;
60;0;0,0;0;0;0;0;
61;0;0,0;0;0;0;0;
62;0;0,0;0;0;0;0;
63;0;0,0;0;0;0;0;
64;0;0,0;0;0;0;0;
65;0;0,0;0;0;0;14;
66;10;0,625;8;0;0;0;
67;11;0,2;11;0;0;0;
68;0;0,0;0;0;0;6;
69;0;0,0;0;0;0;4;
70;0;0,0;0;0;0;0;
71;0;0,0;0;0;0;2;
72;0;0,0;0;0;0;38;
73;3;0,06521739;3;0;0;11;
74;0;0,0;0;0;0;16;
75;0;0,0;0;0;0;0;
76;0;0,0;0;0;0;29;
77;0;0,0;0;0;0;15;
78;0;0,0;0;0;0;8;
79;0;0,0;0;0;0;1;
80;0;0,0;0;0;0;0;
81;0;0,0;0;0;0;0;
82;13;0,16883117;10;0;0;41;
83;0;0,0;0;0;0;3;
84;0;0,0;0;0;0;0;
85;0;0,0;0;0;0;0;
86;4;0,25;2;0;0;0;
87;0;0,0;0;0;0;0;
88;5;0,45454547;5;0;0;0;
89;0;0,0;0;0;0;3;
90;4;0,07017544;0;0;4;24;
91;22;0,37931034;22;0;0;19;
92;0;0,0;0;0;0;19;
93;12;0,1764706;12;0;0;8;
94;0;0,0;0;0;0;0;
95;2;0,05263158;0;2;0;0;
96;0;0,0;0;0;0;0;
97;0;0,0;0;0;0;0;
98;14;0,35;11;0;0;2;
99;0;0,0;0;0;0;1;
100;0;0,0;0;0;0;0;
101;0;0,0;0;0;0;3;
102;0;0,0;0;0;0;0;
103;0;0,0;0;0;0;10;
104;0;0,0;0;0;0;2;
105;0;0,0;0;0;0;0;
106;0;0,0;0;0;0;5;
107;0;0,0;0;0;0;18;
108;0;0,0;0;0;0;0;
109;1;0,021276595;0;1;0;16;
110;0;0,0;0;0;0;13;
111;0;0,0;0;0;0;22;
112;0;0,0;0;0;0;9;
113;0;0,0;0;0;0;12;
114;0;0,0;0;0;0;24;
115;0;0,0;0;0;0;0;
116;0;0,0;0;0;0;25;
117;0;0,0;0;0;0;0;
118;10;0,23809524;10;0;0;2;
119;11;0,1375;11;0;0;34;
120;0;0,0;0;0;0;16;
121;7;0,1627907;7;0;0;0;
122;5;0,071428575;3;0;0;42;
123;0;0,0;0;0;0;13;
124;0;0,0;0;0;0;0;
125;24;0,38709676;24;0;0;7;
126;1;0,017857144;0;1;0;2;
127;0;0,0;0;0;0;5;
128;4;0,05882353;4;0;0;41;
129;0;0,0;0;0;0;0;
130;0;0,0;0;0;0;0;
131;0;0,0;0;0;0;0;
132;0;0,0;0;0;0;0;
133;1;0,027777778;0;1;0;4;
134;0;0,0;0;0;0;0;
135;0;0,0;0;0;0;0;
136;0;0,0;0;0;0;14;
137;11;0,6111111;11;0;0;0;
138;0;0,0;0;0;0;13;
139;0;0,0;0;0;0;14;
140;0;0,0;0;0;0;3;
141;0;0,0;0;0;0;18;
142;0;0,0;0;0;0;3;
143;0;0,0;0;0;0;0;
144;0;0,0;0;0;0;0;
145;4;0,05970149;0;0;4;0;
146;0;0,0;0;0;0;2;
147;0;0,0;0;0;0;7;
148;0;0,0;0;0;0;0;
149;6;0,09090909;0;0;6;31;
150;9;0,5;9;0;0;0;
151;12;0,1904762;2;0;0;2;
152;8;0,11111111;7;0;0;41;
153;3;0,06;3;0;0;4;
154;3;0,050847456;0;0;3;11;
155;5;0,12820514;5;0;0;5;
156;0;0,0;0;0;0;2;
157;3;0,115384616;3;0;0;0;
158;0;0,0;0;0;0;13;
159;0;0,0;0;0;0;16;
160;0;0,0;0;0;0;0;
161;4;0,07692308;0;4;0;6;
162;0;0,0;0;0;0;0;
163;0;0,0;0;0;0;4;
164;6;0,4;6;0;0;0;
165;0;0,0;0;0;0;0;
166;0;0,0;0;0;0;41;
167;0;0,0;0;0;0;0;
168;0;0,0;0;0;0;0;
169;0;0,0;0;0;0;0;
170;0;0,0;0;0;0;20;
171;3;0,05263158;3;0;0;20;
172;0;0,0;0;0;0;0;
173;5;0,10869565;5;0;0;10;
174;9;0,12328767;9;0;0;31;
175;0;0,0;0;0;0;21;
176;0;0,0;0;0;0;9;
177;0;0,0;0;0;0;2;
178;0;0,0;0;0;0;7;
179;0;0,0;0;0;0;25;
180;0;0,0;0;0;0;18;
181;3;0,069767445;3;0;0;21;
182;8;0,53333336;8;0;0;0;
183;0;0,0;0;0;0;0;
184;0;0,0;0;0;0;0;
185;0;0,0;0;0;0;0;
186;0;0,0;0;0;0;0;
187;0;0,0;0;0;0;9;
188;0;0,0;0;0;0;0;
189;0;0,0;0;0;0;20;
190;3;0,13043478;3;0;0;0;
191;0;0,0;0;0;0;0;
192;0;0,0;0;0;0;0;
193;0;0,0;0;0;0;0;
194;0;0,0;0;0;0;0;
195;0;0,0;0;0;0;0;
196;0;0,0;0;0;0;3;
197;8;0,11764706;8;0;0;15;
198;2;0,04347826;1;0;0;26;
199;0;0,0;0;0;0;14;
200;0;0,0;0;0;0;21;
201;6;0,22222222;6;0;0;0;
202;7;0,088607594;7;0;0;37;
203;0;0,0;0;0;0;0;
204;0;0,0;0;0;0;0;
205;0;0,0;0;0;0;0;
206;0;0,0;0;0;0;6;
207;0;0,0;0;0;0;0;
208;0;0,0;0;0;0;1;
209;0;0,0;0;0;0;0;
210;0;0,0;0;0;0;14;
211;0;0,0;0;0;0;0;
212;0;0,0;0;0;0;0;
213;0;0,0;0;0;0;0;
214;16;0,20253165;13;0;0;29;
215;0;0,0;0;0;0;0;
216;4;0,056338027;4;0;0;19;
217;0;0,0;0;0;0;0;
218;0;0,0;0;0;0;0;
219;0;0,0;0;0;0;12;
220;0;0,0;0;0;0;0;
221;0;0,0;0;0;0;0;
222;0;0,0;0;0;0;0;
223;0;0,0;0;0;0;0;
224;0;0,0;0;0;0;0;
225;0;0,0;0;0;0;5;
