SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
0;4;0,06779661;2;0;0;0;
1;0;0,0;0;0;0;4;
2;2;0,037037037;0;0;2;0;
3;0;0,0;0;0;0;0;
4;5;0,09615385;4;0;0;0;
5;2;0,08695652;0;0;2;2;
6;13;0,26;13;0;0;0;
7;22;0,4489796;18;0;0;0;
8;4;0,08695652;2;0;0;0;
9;4;0,1904762;3;0;0;0;
10;2;0,057142857;0;0;2;0;
11;16;0,25;16;0;0;0;
12;0;0,0;0;0;0;0;
13;2;0,0625;0;0;2;0;
14;4;0,18181819;4;0;0;0;
15;3;0,6;3;0;0;0;
16;8;0,15686275;8;0;0;0;
17;2;0,05263158;0;0;2;0;
18;18;0,34615386;18;0;0;3;
19;104;0,707483;104;0;0;0;
20;3;0,5;3;0;0;0;
21;1;0,04;0;0;1;10;
22;3;0,115384616;0;0;3;0;
23;1;0,027027028;0;0;1;8;
24;1;0,030303031;0;0;1;1;
25;0;0,0;0;0;0;23;
26;0;0,0;0;0;0;0;
27;12;0,19672132;11;0;0;19;
28;9;0,20930232;8;0;0;0;
29;1;0,024390243;0;0;1;0;
30;10;0,19607843;10;0;0;0;
31;6;0,16666667;3;0;0;0;
32;15;0,33333334;12;0;0;0;
33;3;0,08571429;0;2;0;5;
34;1;0,04347826;0;0;1;0;
35;9;0,20930232;9;0;0;6;
36;1;0,017857144;0;0;1;13;
37;1;0,025641026;0;0;1;0;
38;5;0,07692308;4;0;0;21;
39;1;0,024390243;0;0;1;0;
40;0;0,0;0;0;0;0;
41;13;0,23214285;13;0;0;0;
42;16;0,29090908;8;0;0;2;
43;0;0,0;0;0;0;7;
44;0;0,0;0;0;0;0;
45;0;0,0;0;0;0;3;
46;7;0,13207547;7;0;0;2;
47;0;0,0;0;0;0;0;
48;11;0,22;11;0;0;9;
49;19;0,3275862;19;0;0;4;
50;25;0,33333334;21;0;0;10;
51;14;0,23333333;14;0;0;0;
52;3;0,046875;2;0;0;7;
53;0;0,0;0;0;0;0;
54;0;0,0;0;0;0;0;
55;0;0,0;0;0;0;0;
56;1;0,021276595;0;0;1;14;
57;12;0,2857143;8;0;0;8;
58;10;0,5555556;8;0;0;0;
59;0;0,0;0;0;0;3;
60;10;0,1923077;6;0;0;22;
61;3;0,27272728;2;0;0;0;
62;1;0,0625;0;0;1;0;
63;0;0,0;0;0;0;15;
64;0;0,0;0;0;0;15;
65;0;0,0;0;0;0;19;
66;25;0,36764705;25;0;0;1;
67;11;0,24444444;4;0;0;1;
68;30;0,4477612;29;0;0;10;
69;25;0,40983605;19;0;0;0;
70;30;0,37974682;29;0;0;10;
71;6;0,3;6;0;0;0;
72;32;0,41558442;32;0;0;8;
73;3;0,10714286;0;1;0;0;
74;18;0,29508197;16;0;0;8;
75;3;0,09090909;3;0;0;0;
76;9;0,21428572;9;0;0;4;
77;6;0,14285715;3;0;0;4;
78;8;0,18181819;8;0;0;7;
79;23;0,3898305;14;0;0;9;
80;1;0,02;0;0;1;4;
81;11;0,17741935;0;5;0;22;
82;9;0,18;2;0;0;4;
83;15;0,3488372;14;0;0;0;
84;14;0,29166666;12;0;0;0;
85;3;0,05263158;3;0;0;6;
86;6;0,14285715;5;0;0;0;
87;5;0,11363637;5;0;0;3;
88;6;0,13953489;6;0;0;14;
89;9;0,225;7;0;0;1;
90;4;0,08163265;3;0;0;4;
91;2;0,046511628;0;0;2;1;
92;3;0,07692308;3;0;0;2;
93;1;0,025;0;0;1;5;
94;8;0,1904762;8;0;0;1;
95;15;0,3125;14;0;0;0;
96;11;0,25;9;0;0;0;
97;10;0,2;8;0;0;6;
98;0;0,0;0;0;0;3;
99;0;0,0;0;0;0;0;
100;1;0,022727273;0;0;1;13;
101;0;0,0;0;0;0;0;
102;6;0,13333334;1;0;0;6;
103;19;0,3877551;19;0;0;0;
104;0;0,0;0;0;0;0;
105;0;0,0;0;0;0;3;
106;19;0,26027396;17;0;0;35;
107;1;0,01923077;0;0;1;8;
108;4;0,09756097;4;0;0;2;
109;19;0,296875;18;0;0;26;
110;18;0,26865673;12;0;0;2;
111;17;0,32692307;16;0;0;0;
112;27;0,54;27;0;0;0;
113;0;0,0;0;0;0;0;
114;10;0,2173913;7;0;0;3;
115;0;0,0;0;0;0;0;
116;0;0,0;0;0;0;4;
117;10;0,16393442;8;0;0;20;
118;2;0,05263158;0;0;2;21;
119;11;0,32352942;0;8;0;0;
120;0;0,0;0;0;0;0;
121;3;0,057692308;3;0;0;0;
122;4;0,114285715;0;3;0;0;
123;7;0,23333333;7;0;0;0;
124;0;0,0;0;0;0;0;
125;3;0,05172414;0;2;0;27;
126;1;0,019607844;0;0;1;2;
127;0;0,0;0;0;0;3;
128;7;0,125;5;0;0;9;
129;1;0,055555556;0;0;1;3;
130;3;0,375;3;0;0;0;
131;3;0,05357143;2;0;0;4;
132;4;0,07272727;4;0;0;8;
133;0;0,0;0;0;0;2;
134;2;0,035714287;0;0;2;23;
135;0;0,0;0;0;0;0;
136;0;0,0;0;0;0;0;
137;5;0,104166664;5;0;0;5;
138;0;0,0;0;0;0;0;
139;4;0,06349207;4;0;0;8;
140;0;0,0;0;0;0;1;
141;1;0,04761905;0;0;1;0;
142;9;0,15517241;9;0;0;30;
143;2;0,03846154;2;0;0;30;
144;0;0,0;0;0;0;0;
145;1;0,029411765;1;0;0;4;
146;4;0,13333334;3;0;0;0;
147;0;0,0;0;0;0;0;
148;0;0,0;0;0;0;0;
149;0;0,0;0;0;0;0;
150;0;0,0;0;0;0;0;
151;3;0,0882353;2;0;0;0;
152;3;0,057692308;3;0;0;8;
153;0;0,0;0;0;0;0;
154;0;0,0;0;0;0;0;
155;0;0,0;0;0;0;0;
156;3;0,09375;3;0;0;7;
157;4;0,13793103;3;0;0;0;
158;0;0,0;0;0;0;2;
159;13;0,1884058;13;0;0;29;
160;2;0,045454547;2;0;0;0;
161;0;0,0;0;0;0;0;
162;2;0,13333334;0;0;2;0;
163;2;0,2;0;2;0;0;
164;3;0,05882353;3;0;0;4;
165;2;0,083333336;0;1;0;0;
166;0;0,0;0;0;0;3;
167;6;0,11320755;6;0;0;2;
168;0;0,0;0;0;0;0;
169;0;0,0;0;0;0;0;
170;6;0,14634146;4;0;0;1;
171;11;0,275;10;0;0;8;
172;7;0,17948718;6;0;0;3;
173;7;0,1521739;4;0;0;0;
174;0;0,0;0;0;0;2;
175;9;0,1875;7;0;0;1;
176;5;0,09090909;5;0;0;2;
177;3;0,1875;3;0;0;0;
178;6;0,115384616;4;0;0;22;
179;5;0,23809524;5;0;0;0;
180;0;0,0;0;0;0;0;
181;0;0,0;0;0;0;0;
182;9;0,17307693;7;0;0;9;
183;19;0,5;15;0;0;0;
184;9;0,21428572;7;0;0;1;
185;4;0,08163265;4;0;0;4;
186;13;0,3939394;0;1;0;6;
187;14;0,22222222;14;0;0;8;
188;0;0,0;0;0;0;16;
189;4;0,102564104;4;0;0;7;
190;9;0,21428572;9;0;0;18;
191;11;0,25581396;11;0;0;4;
192;0;0,0;0;0;0;0;
193;14;0,21875;14;0;0;5;
194;14;0,3043478;14;0;0;5;
195;0;0,0;0;0;0;0;
196;13;0,22413793;13;0;0;2;
197;3;0,09090909;1;0;0;2;
198;19;0,3392857;17;0;0;0;
199;4;0,10526316;3;0;0;1;
200;6;0,115384616;6;0;0;14;
201;1;0,05263158;0;0;1;0;
202;11;0,26190478;10;0;0;0;
203;12;0,30769232;11;0;0;5;
204;3;0,08571429;3;0;0;0;
205;13;0,24528302;13;0;0;2;
206;0;0,0;0;0;0;0;
207;1;0,04347826;0;0;1;0;
208;0;0,0;0;0;0;0;
