SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
0;4;0,06779661;2;0;0;23;
1;0;0,0;0;0;0;0;
2;0;0,0;0;0;0;10;
3;0;0,0;0;0;0;12;
4;0;0,0;0;0;0;5;
5;0;0,0;0;0;0;0;
6;0;0,0;0;0;0;0;
7;0;0,0;0;0;0;8;
8;15;0,30612245;11;0;0;6;
9;0;0,0;0;0;0;0;
10;4;0,083333336;3;0;0;14;
11;0;0,0;0;0;0;0;
12;0;0,0;0;0;0;0;
13;0;0,0;0;0;0;0;
14;0;0,0;0;0;0;0;
15;0;0,0;0;0;0;11;
16;0;0,0;0;0;0;0;
17;0;0,0;0;0;0;0;
18;0;0,0;0;0;0;11;
19;0;0,0;0;0;0;3;
20;0;0,0;0;0;0;0;
21;0;0,0;0;0;0;0;
22;0;0,0;0;0;0;0;
23;0;0,0;0;0;0;0;
24;0;0,0;0;0;0;3;
25;0;0,0;0;0;0;12;
26;2;0,032258064;0;0;2;14;
27;11;0,23404256;5;0;0;4;
28;0;0,0;0;0;0;0;
29;0;0,0;0;0;0;1;
30;0;0,0;0;0;0;2;
31;0;0,0;0;0;0;20;
32;0;0,0;0;0;0;0;
33;3;0,054545455;2;0;0;33;
34;0;0,0;0;0;0;17;
35;0;0,0;0;0;0;0;
36;0;0,0;0;0;0;38;
37;3;0,069767445;3;0;0;0;
38;0;0,0;0;0;0;1;
39;0;0,0;0;0;0;5;
40;1;0,029411765;0;0;1;0;
41;0;0,0;0;0;0;26;
42;0;0,0;0;0;0;0;
43;0;0,0;0;0;0;0;
44;0;0,0;0;0;0;0;
45;0;0,0;0;0;0;26;
46;0;0,0;0;0;0;0;
47;0;0,0;0;0;0;16;
48;0;0,0;0;0;0;5;
49;0;0,0;0;0;0;0;
50;0;0,0;0;0;0;7;
51;0;0,0;0;0;0;21;
52;0;0,0;0;0;0;1;
53;0;0,0;0;0;0;6;
54;0;0,0;0;0;0;24;
55;0;0,0;0;0;0;5;
56;0;0,0;0;0;0;2;
57;7;0,12962963;7;0;0;16;
58;0;0,0;0;0;0;0;
59;18;0,23684211;17;0;0;25;
60;0;0,0;0;0;0;10;
61;3;0,046153847;2;0;0;13;
62;0;0,0;0;0;0;0;
63;0;0,0;0;0;0;0;
64;0;0,0;0;0;0;17;
65;6;0,26086956;4;0;0;3;
66;16;0,42105263;12;0;0;0;
67;0;0,0;0;0;0;8;
68;0;0,0;0;0;0;0;
69;3;0,06382979;0;1;0;3;
70;0;0,0;0;0;0;0;
71;0;0,0;0;0;0;0;
72;6;0,13636364;4;0;0;22;
73;0;0,0;0;0;0;15;
74;6;0,13636364;6;0;0;6;
75;3;0,083333336;3;0;0;2;
76;0;0,0;0;0;0;14;
77;11;0,1641791;7;0;0;15;
78;33;0,36263737;33;0;0;25;
79;20;0,2857143;20;0;0;17;
80;9;0,12328767;9;0;0;17;
81;2;0,06896552;0;1;0;0;
82;16;0,26666668;16;0;0;1;
83;0;0,0;0;0;0;0;
84;0;0,0;0;0;0;10;
85;0;0,0;0;0;0;9;
86;0;0,0;0;0;0;14;
87;0;0,0;0;0;0;21;
88;3;0,06382979;1;0;0;1;
89;4;0,06666667;3;0;0;22;
90;20;0,3125;20;0;0;1;
91;0;0,0;0;0;0;0;
92;0;0,0;0;0;0;0;
93;0;0,0;0;0;0;13;
94;0;0,0;0;0;0;12;
95;3;0,06818182;2;0;0;10;
96;0;0,0;0;0;0;7;
97;0;0,0;0;0;0;0;
98;0;0,0;0;0;0;20;
99;0;0,0;0;0;0;12;
100;0;0,0;0;0;0;9;
101;0;0,0;0;0;0;0;
102;0;0,0;0;0;0;1;
103;6;0,12;6;0;0;2;
104;0;0,0;0;0;0;12;
105;10;0,19607843;8;0;0;12;
106;0;0,0;0;0;0;2;
107;0;0,0;0;0;0;7;
108;0;0,0;0;0;0;2;
109;11;0,17460318;10;0;0;18;
110;3;0,09677419;3;0;0;0;
111;0;0,0;0;0;0;0;
112;0;0,0;0;0;0;2;
113;0;0,0;0;0;0;11;
114;0;0,0;0;0;0;11;
115;1;0,03846154;0;0;1;0;
116;0;0,0;0;0;0;13;
117;3;0,125;3;0;0;0;
118;38;0,4;38;0;0;21;
119;2;0,054054055;0;1;0;7;
120;37;0,35576922;37;0;0;30;
121;0;0,0;0;0;0;0;
122;0;0,0;0;0;0;0;
123;4;0,11111111;0;2;0;0;
124;0;0,0;0;0;0;8;
125;0;0,0;0;0;0;11;
126;0;0,0;0;0;0;16;
127;0;0,0;0;0;0;0;
128;6;0,08450704;6;0;0;17;
129;1;0,024390243;1;0;0;4;
130;29;0,6904762;29;0;0;0;
131;0;0,0;0;0;0;0;
132;0;0,0;0;0;0;0;
133;0;0,0;0;0;0;0;
134;0;0,0;0;0;0;24;
135;0;0,0;0;0;0;16;
136;20;0,2631579;20;0;0;33;
137;0;0,0;0;0;0;0;
138;3;0,375;3;0;0;0;
139;0;0,0;0;0;0;1;
140;0;0,0;0;0;0;0;
141;0;0,0;0;0;0;23;
142;0;0,0;0;0;0;0;
143;0;0,0;0;0;0;34;
144;0;0,0;0;0;0;0;
145;0;0,0;0;0;0;0;
146;0;0,0;0;0;0;4;
147;0;0,0;0;0;0;0;
148;0;0,0;0;0;0;25;
149;0;0,0;0;0;0;13;
150;0;0,0;0;0;0;0;
151;1;0,01724138;0;0;1;24;
152;0;0,0;0;0;0;15;
153;0;0,0;0;0;0;0;
154;0;0,0;0;0;0;9;
155;0;0,0;0;0;0;0;
156;0;0,0;0;0;0;0;
157;0;0,0;0;0;0;0;
158;0;0,0;0;0;0;0;
159;0;0,0;0;0;0;0;
160;0;0,0;0;0;0;0;
161;0;0,0;0;0;0;0;
162;0;0,0;0;0;0;0;
163;0;0,0;0;0;0;6;
164;0;0,0;0;0;0;0;
165;0;0,0;0;0;0;0;
166;0;0,0;0;0;0;0;
167;0;0,0;0;0;0;4;
168;3;0,27272728;3;0;0;0;
169;0;0,0;0;0;0;24;
170;0;0,0;0;0;0;0;
171;0;0,0;0;0;0;1;
172;0;0,0;0;0;0;1;
173;0;0,0;0;0;0;0;
174;0;0,0;0;0;0;0;
175;0;0,0;0;0;0;2;
176;0;0,0;0;0;0;0;
177;0;0,0;0;0;0;5;
178;2;0,083333336;0;1;0;0;
179;0;0,0;0;0;0;15;
180;3;0,056603774;3;0;0;18;
181;0;0,0;0;0;0;4;
182;0;0,0;0;0;0;0;
183;6;0,14634146;4;0;0;19;
184;0;0,0;0;0;0;0;
185;0;0,0;0;0;0;0;
186;0;0,0;0;0;0;0;
187;14;0,19178082;12;0;0;5;
188;9;0,1875;7;0;0;2;
189;0;0,0;0;0;0;36;
190;0;0,0;0;0;0;0;
191;0;0,0;0;0;0;0;
192;6;0,11320755;4;0;0;16;
193;0;0,0;0;0;0;0;
194;0;0,0;0;0;0;0;
195;0;0,0;0;0;0;0;
196;9;0,16981132;7;0;0;4;
197;0;0,0;0;0;0;0;
198;16;0,27118644;14;0;0;13;
199;0;0,0;0;0;0;6;
200;16;0,23529412;16;0;0;8;
201;5;0,17857143;4;0;0;0;
202;0;0,0;0;0;0;9;
203;16;0,26666668;16;0;0;27;
204;0;0,0;0;0;0;1;
205;8;0,18604651;8;0;0;0;
206;0;0,0;0;0;0;0;
207;1;0,016666668;0;0;1;13;
208;10;0,25;10;0;0;0;
209;0;0,0;0;0;0;0;
210;0;0,0;0;0;0;0;
211;3;0,071428575;3;0;0;4;
212;2;0,04;2;0;0;16;
213;0;0,0;0;0;0;4;
214;0;0,0;0;0;0;5;
215;0;0,0;0;0;0;20;
216;0;0,0;0;0;0;0;
217;0;0,0;0;0;0;0;
218;9;0,3;9;0;0;0;
219;0;0,0;0;0;0;14;
220;4;0,17391305;3;0;0;0;
221;0;0,0;0;0;0;4;
222;2;0,074074075;0;0;2;2;
223;5;0,22727273;5;0;0;0;
224;0;0,0;0;0;0;0;
225;0;0,0;0;0;0;18;
226;16;0,5;16;0;0;0;
227;15;0,23076923;15;0;0;30;
228;21;0,2837838;21;0;0;8;
229;13;0,1625;12;0;0;43;
230;5;0,11904762;5;0;0;4;
231;0;0,0;0;0;0;7;
232;0;0,0;0;0;0;6;
233;0;0,0;0;0;0;0;
234;11;0,17741935;11;0;0;20;
235;0;0,0;0;0;0;40;
236;0;0,0;0;0;0;0;
237;0;0,0;0;0;0;0;
238;6;0,15;6;0;0;0;
239;0;0,0;0;0;0;22;
240;0;0,0;0;0;0;16;
241;0;0,0;0;0;0;0;
242;0;0,0;0;0;0;4;
243;0;0,0;0;0;0;0;
244;0;0,0;0;0;0;0;
245;6;0,15789473;6;0;0;0;
246;0;0,0;0;0;0;0;
247;0;0,0;0;0;0;7;
248;0;0,0;0;0;0;15;
249;3;0,046875;3;0;0;4;
250;2;0,060606062;2;0;0;14;
251;0;0,0;0;0;0;15;
252;4;0,060606062;3;0;0;16;
253;4;0,078431375;3;0;0;27;
254;3;0,09375;2;0;0;1;
255;0;0,0;0;0;0;0;
256;0;0,0;0;0;0;0;
257;0;0,0;0;0;0;4;
258;0;0,0;0;0;0;0;
259;0;0,0;0;0;0;4;
260;0;0,0;0;0;0;3;
261;16;0,22535211;12;0;0;12;
262;4;0,06153846;4;0;0;12;
263;0;0,0;0;0;0;0;
264;0;0,0;0;0;0;9;
265;0;0,0;0;0;0;25;
266;0;0,0;0;0;0;4;
267;10;0,37037036;10;0;0;3;
268;0;0,0;0;0;0;1;
269;5;0,084745765;5;0;0;19;
270;0;0,0;0;0;0;17;
271;12;0,22222222;12;0;0;0;
272;29;0,33333334;28;0;0;11;
273;13;0,325;0;3;0;9;
274;20;0,35714287;17;0;0;0;
275;6;0,10526316;6;0;0;17;
276;0;0,0;0;0;0;12;
277;0;0,0;0;0;0;0;
278;0;0,0;0;0;0;10;
279;15;0,22727273;15;0;0;7;
280;0;0,0;0;0;0;4;
281;0;0,0;0;0;0;0;
282;0;0,0;0;0;0;0;
283;8;0,16;8;0;0;3;
284;0;0,0;0;0;0;0;
285;0;0,0;0;0;0;0;
286;0;0,0;0;0;0;42;
287;0;0,0;0;0;0;0;
288;0;0,0;0;0;0;0;
289;0;0,0;0;0;0;15;
290;0;0,0;0;0;0;0;
291;0;0,0;0;0;0;4;
292;0;0,0;0;0;0;0;
293;0;0,0;0;0;0;12;
294;11;0,18965517;11;0;0;15;
295;11;0,16176471;9;0;0;2;
296;0;0,0;0;0;0;26;
297;0;0,0;0;0;0;0;
298;12;0,17391305;12;0;0;1;
299;6;0,14634146;4;0;0;18;
300;1;0,02631579;0;0;1;10;
301;0;0,0;0;0;0;4;
302;0;0,0;0;0;0;0;
303;0;0,0;0;0;0;0;
304;0;0,0;0;0;0;0;
305;0;0,0;0;0;0;0;
306;0;0,0;0;0;0;16;
307;2;0,045454547;0;1;0;0;
308;0;0,0;0;0;0;0;
309;10;0,22222222;8;0;0;17;
310;6;0,08571429;6;0;0;5;
311;0;0,0;0;0;0;5;
312;0;0,0;0;0;0;34;
313;0;0,0;0;0;0;11;
