SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
0;0;0,0;0;0;0;0;
1;1;0,020408163;0;0;1;0;
2;3;0,078947365;0;1;0;14;
3;0;0,0;0;0;0;0;
4;0;0,0;0;0;0;0;
5;0;0,0;0;0;0;3;
6;0;0,0;0;0;0;0;
7;0;0,0;0;0;0;2;
8;1;0,028571429;0;0;1;11;
9;2;0,16666667;0;1;0;0;
10;5;0,3125;3;0;0;0;
11;14;0,28;14;0;0;2;
12;0;0,0;0;0;0;0;
13;2;0,125;0;0;2;2;
14;1;0,07692308;0;0;1;0;
15;2;0,09090909;0;0;2;6;
16;0;0,0;0;0;0;0;
17;26;0,41269842;24;0;0;0;
18;3;0,09375;0;0;3;0;
19;0;0,0;0;0;0;0;
20;0;0,0;0;0;0;0;
21;0;0,0;0;0;0;0;
22;4;0,16666667;2;0;0;0;
23;9;0,14754099;5;0;0;28;
24;9;0,15254237;7;0;0;14;
25;20;0,2739726;17;0;0;17;
26;12;0,46153846;8;0;0;3;
27;2;0,03125;0;0;2;25;
28;51;0,4857143;48;0;0;19;
29;0;0,0;0;0;0;31;
30;4;0,071428575;3;0;0;31;
31;1;0,022727273;0;0;1;0;
32;10;0,22727273;8;0;0;0;
33;24;0,39344263;23;0;0;16;
34;5;0,15151516;2;0;0;0;
35;0;0,0;0;0;0;0;
36;10;0,18181819;9;0;0;1;
37;0;0,0;0;0;0;0;
38;2;0,05263158;0;0;2;0;
39;0;0,0;0;0;0;0;
40;6;0,13043478;6;0;0;4;
41;24;0,36923078;22;0;0;6;
42;0;0,0;0;0;0;0;
43;9;0,16981132;8;0;0;15;
44;4;0,10810811;4;0;0;3;
45;2;0,05882353;0;0;2;3;
46;1;0,032258064;0;0;1;8;
47;5;0,1923077;5;0;0;0;
48;0;0,0;0;0;0;0;
49;0;0,0;0;0;0;0;
50;2;0,08695652;0;1;0;3;
51;8;0,21052632;3;0;0;0;
52;0;0,0;0;0;0;0;
53;7;0,1521739;7;0;0;16;
54;1;0,0625;0;0;1;0;
55;4;0,06153846;3;0;0;15;
56;0;0,0;0;0;0;6;
57;14;0,4;14;0;0;0;
58;0;0,0;0;0;0;0;
59;3;0,08571429;0;0;3;6;
60;3;0,12;0;0;3;0;
61;0;0,0;0;0;0;32;
62;1;0,04;0;0;1;3;
63;5;0,09090909;4;0;0;23;
64;9;0,2;8;0;0;8;
65;8;0,14545454;6;0;0;16;
66;8;0,15384616;4;0;0;9;
67;2;0,06896552;2;0;0;0;
68;19;0,54285717;12;0;0;0;
69;3;0,0625;3;0;0;5;
70;9;0,225;5;0;0;4;
71;5;0,10869565;4;0;0;23;
72;9;0,15789473;9;0;0;5;
73;0;0,0;0;0;0;0;
74;0;0,0;0;0;0;0;
75;2;0,045454547;2;0;0;13;
76;8;0,1632653;7;0;0;1;
77;0;0,0;0;0;0;0;
78;0;0,0;0;0;0;0;
79;8;0,1632653;2;0;0;5;
80;12;0,31578946;11;0;0;3;
81;3;0,07317073;2;0;0;16;
82;0;0,0;0;0;0;0;
83;0;0,0;0;0;0;0;
84;0;0,0;0;0;0;0;
85;0;0,0;0;0;0;16;
86;0;0,0;0;0;0;8;
87;4;0,121212125;0;3;0;15;
88;0;0,0;0;0;0;26;
89;5;0,0877193;1;0;0;16;
90;11;0,18965517;4;0;0;10;
91;4;0,08163265;3;0;0;9;
92;19;0,3114754;17;0;0;1;
93;5;0,07692308;1;0;0;23;
94;0;0,0;0;0;0;0;
95;0;0,0;0;0;0;0;
