SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
0;0;0,0;0;0;0;0;
1;0;0,0;0;0;0;0;
2;0;0,0;0;0;0;0;
3;0;0,0;0;0;0;0;
4;0;0,0;0;0;0;0;
5;0;0,0;0;0;0;17;
6;2;0,055555556;0;1;0;18;
7;0;0,0;0;0;0;0;
8;0;0,0;0;0;0;2;
9;0;0,0;0;0;0;9;
10;0;0,0;0;0;0;0;
11;0;0,0;0;0;0;8;
12;0;0,0;0;0;0;5;
13;2;0,16666667;0;1;0;0;
14;3;0,1875;3;0;0;1;
15;0;0,0;0;0;0;12;
16;0;0,0;0;0;0;1;
17;0;0,0;0;0;0;2;
18;0;0,0;0;0;0;0;
19;1;0,07692308;0;0;1;1;
20;2;0,09090909;0;0;2;0;
21;0;0,0;0;0;0;0;
22;1;0,015625;0;1;0;29;
23;0;0,0;0;0;0;14;
24;0;0,0;0;0;0;0;
25;0;0,0;0;0;0;0;
26;0;0,0;0;0;0;0;
27;0;0,0;0;0;0;0;
28;2;0,032786883;0;0;2;26;
29;0;0,0;0;0;0;34;
30;3;0,04109589;3;0;0;46;
31;8;0,3478261;0;0;8;0;
32;1;0,015625;0;0;1;30;
33;0;0,0;0;0;0;21;
34;3;0,06122449;0;1;0;5;
35;0;0,0;0;0;0;6;
36;3;0,054545455;3;0;0;5;
37;0;0,0;0;0;0;28;
38;0;0,0;0;0;0;0;
39;4;0,09756097;4;0;0;8;
40;0;0,0;0;0;0;0;
41;2;0,060606062;2;0;0;0;
42;1;0,06666667;0;0;1;0;
43;4;0,074074075;3;0;0;17;
44;0;0,0;0;0;0;0;
45;4;0,0952381;4;0;0;7;
46;0;0,0;0;0;0;10;
47;6;0,13043478;6;0;0;8;
48;1;0,015151516;0;1;0;43;
49;0;0,0;0;0;0;0;
50;0;0,0;0;0;0;33;
51;0;0,0;0;0;0;2;
52;0;0,0;0;0;0;14;
53;1;0,032258064;0;0;1;0;
54;5;0,1923077;5;0;0;0;
55;0;0,0;0;0;0;0;
56;0;0,0;0;0;0;0;
57;0;0,0;0;0;0;0;
58;0;0,0;0;0;0;7;
59;0;0,0;0;0;0;4;
60;0;0,0;0;0;0;9;
61;0;0,0;0;0;0;0;
62;3;0,046153847;3;0;0;15;
63;1;0,022222223;0;1;0;13;
64;0;0,0;0;0;0;6;
65;0;0,0;0;0;0;0;
66;0;0,0;0;0;0;4;
67;0;0,0;0;0;0;0;
68;0;0,0;0;0;0;5;
69;0;0,0;0;0;0;0;
70;0;0,0;0;0;0;15;
71;0;0,0;0;0;0;24;
72;0;0,0;0;0;0;7;
73;0;0,0;0;0;0;26;
74;0;0,0;0;0;0;0;
75;1;0,027777778;0;1;0;5;
76;3;0,0625;3;0;0;12;
77;0;0,0;0;0;0;9;
78;0;0,0;0;0;0;1;
79;3;0,05263158;3;0;0;9;
80;0;0,0;0;0;0;0;
81;0;0,0;0;0;0;0;
82;2;0,045454547;2;0;0;24;
